Before,After,Value
1589813485.868099928,1589813485.969853163,100
1589813490.970802546,1589813491.070106506,0
1589813496.071038246,1589813496.174844742,100
1589813501.174986839,1589813501.265700102,0
1589813506.265819550,1589813506.362753868,100
1589813511.363531828,1589813511.458121061,0
1589813516.458981991,1589813516.554056406,100
1589813521.554396391,1589813521.655702591,0
1589813526.656345129,1589813526.753544092,100
1589813531.754371643,1589813531.849915504,0
1589813536.850756168,1589813536.947750568,100
1589813541.948645115,1589813542.047567606,0
1589813547.048455954,1589813547.141724586,100
1589813552.142494440,1589813552.246324778,0
1589813557.246696234,1589813557.340675831,100
1589813562.341054440,1589813562.445796251,0
1589813567.446724653,1589813567.549748421,100
1589813572.550703764,1589813572.656809568,0
1589813577.656961679,1589813577.755743980,100
1589813582.755916119,1589813582.857694149,0
1589813587.858584642,1589813587.953487635,100
1589813592.953510284,1589813593.049142361,0
1589813598.049379826,1589813598.143932581,100
1589813603.144429207,1589813603.254309893,0
1589813608.254314423,1589813608.356643438,100
1589813613.357470274,1589813613.453470945,0
1589813618.454111338,1589813618.550111294,100
1589813623.550231218,1589813623.657930613,0
1589813628.658654928,1589813628.758933306,100
1589813633.759408236,1589813633.860424995,0
1589813638.861227989,1589813638.970629215,100
1589813643.971470356,1589813644.077099800,0
1589813649.077259541,1589813649.179233789,100
1589813654.179653883,1589813654.285345316,0
1589813659.286163807,1589813659.387424469,100
1589813664.387969732,1589813664.493505478,0
1589813669.493721247,1589813669.598631620,100
1589813674.598987341,1589813674.698988914,0
1589813679.699263334,1589813679.813917637,100
1589813684.814390182,1589813684.914353848,0
1589813689.914481640,1589813690.010029316,100
1589813695.010996580,1589813695.114317417,0
1589813700.114384651,1589813700.210748672,100
1589813705.212122679,1589813705.308984280,0
1589813710.309352636,1589813710.428802729,100
1589813715.428863287,1589813715.538524389,0
1589813720.539267063,1589813720.649582386,100
1589813725.649846077,1589813725.754261494,0
1589813730.754341364,1589813730.851340055,100
1589813735.852170944,1589813735.955928087,0
1589813740.955994129,1589813741.059852839,100
1589813746.060353756,1589813746.160476685,0
1589813751.161158800,1589813751.264545679,100
1589813756.265533209,1589813756.359835863,0
1589813761.360259533,1589813761.458589792,100
1589813766.458875895,1589813766.555540800,0
1589813771.556408405,1589813771.660377502,100
1589813776.660844326,1589813776.755278826,0
1589813781.757203102,1589813781.866444349,100
1589813786.867115021,1589813786.970775604,0
1589813791.971022129,1589813792.074143171,100
1589813797.074373960,1589813797.174526453,0
1589813802.174638987,1589813802.265639782,100
1589813807.266050339,1589813807.365634203,0
1589813812.366380692,1589813812.462381363,100
1589813817.462749720,1589813817.563603163,0
1589813822.564497948,1589813822.664100885,100
1589813827.664114237,1589813827.757228613,0
1589813832.758018255,1589813832.851149321,100
1589813837.852083921,1589813837.949159384,0
1589813842.949764490,1589813843.052880526,100
1589813848.052968025,1589813848.148792267,0
1589813853.149484873,1589813853.252598763,100
1589813858.253389597,1589813858.355641603,0
1589813863.355644941,1589813863.458061934,100
1589813868.458746910,1589813868.559738874,0
1589813873.560847044,1589813873.676767826,100
1589813878.677284002,1589813878.780200720,0
1589813883.780205011,1589813883.884444475,100
1589813888.884600401,1589813888.985223770,0
1589813893.986387014,1589813894.092511654,100
1589813899.092604876,1589813899.200245142,0
1589813904.200835943,1589813904.297490120,100
1589813909.298426390,1589813909.395298481,0
1589813914.395326138,1589813914.490790129,100
1589813919.491214991,1589813919.584370375,0
1589813924.585314274,1589813924.685157299,100
1589813929.685406208,1589813929.788570404,0
1589813934.789123058,1589813934.892566681,100
1589813939.893354177,1589813939.991798162,0
1589813944.992677212,1589813945.102654934,100
1589813950.102729559,1589813950.201678991,0
1589813955.201868296,1589813955.299619675,100
1589813960.300462484,1589813960.401232958,0
1589813965.401484251,1589813965.505095720,100
1589813970.505997419,1589813970.609760761,0
1589813975.610465288,1589813975.714274883,100
1589813980.714704037,1589813980.816860676,0
1589813985.817362070,1589813985.921004534,100
1589813990.921872139,1589813991.020543575,0
1589813996.021047354,1589813996.116059303,100
1589814001.116266012,1589814001.216733694,0
1589814006.217140913,1589814006.315783024,100
1589814011.316028595,1589814011.411526442,0
1589814016.411916256,1589814016.508504629,100
1589814021.508893728,1589814021.608801365,0
1589814026.609763861,1589814026.709048271,100
1589814031.709357977,1589814031.807038069,0
1589814036.807998419,1589814036.905009508,100
